time	V(g1)	V(out)
3.931019466800527e-004	-4.199747e-003	4.170497e-002
3.941019466800527e-004	-3.621614e-003	3.550279e-002
3.951019466800527e-004	-3.029187e-003	2.915486e-002
3.961019466800528e-004	-2.424806e-003	2.268554e-002
3.971019466800528e-004	-1.810855e-003	1.611980e-002
3.981019466800528e-004	-1.189757e-003	9.483145e-003
3.991019466800528e-004	-5.639642e-004	2.801529e-003
4.001019466800529e-004	6.405455e-005	-3.898768e-003
4.011019466800529e-004	6.918205e-004	-1.059122e-002
4.021019466800529e-004	1.316856e-003	-1.724919e-002
4.031019466800529e-004	1.936695e-003	-2.384600e-002
4.041019466800530e-004	2.548890e-003	-3.035507e-002
4.051019466800530e-004	3.151026e-003	-3.675003e-002
4.061019466800530e-004	3.740727e-003	-4.300481e-002
4.071019466800530e-004	4.315664e-003	-4.909381e-002
4.081019466800531e-004	4.873569e-003	-5.499195e-002
4.091019466800531e-004	5.412241e-003	-6.067485e-002
4.101019466800531e-004	5.929553e-003	-6.611887e-002
4.111019466800531e-004	6.423464e-003	-7.130130e-002
4.121019466800532e-004	6.892025e-003	-7.620043e-002
4.131019466731694e-004	7.333385e-003	-8.079562e-002
4.141019466731694e-004	7.745804e-003	-8.506752e-002
4.151019466731694e-004	8.127654e-003	-8.899800e-002
4.161019466731694e-004	8.477428e-003	-9.257039e-002
4.171019466731695e-004	8.793745e-003	-9.576949e-002
4.181019466731695e-004	9.075358e-003	-9.858164e-002
4.191019466731695e-004	9.321154e-003	-1.009948e-001
4.201019466731695e-004	9.530164e-003	-1.029988e-001
4.211019466731696e-004	9.701563e-003	-1.045848e-001
4.221019466731696e-004	9.834673e-003	-1.057463e-001
4.231019466731696e-004	9.928972e-003	-1.064782e-001
4.241019466731696e-004	9.984084e-003	-1.067774e-001
4.251019466731697e-004	9.999795e-003	-1.066427e-001
4.261019466731697e-004	9.976041e-003	-1.060747e-001
4.271019466731697e-004	9.912916e-003	-1.050760e-001
4.281019466731697e-004	9.810668e-003	-1.036509e-001
4.291019466731697e-004	9.669703e-003	-1.018056e-001
4.301019466731698e-004	9.490577e-003	-9.954809e-002
4.311019466731698e-004	9.273994e-003	-9.688817e-002
4.321019466731698e-004	9.020812e-003	-9.383728e-002
4.331019466731698e-004	8.732028e-003	-9.040851e-002
4.341019466731699e-004	8.408784e-003	-8.661655e-002
4.351019466731699e-004	8.052354e-003	-8.247758e-002
4.361019466731699e-004	7.664145e-003	-7.800920e-002
4.371019466731699e-004	7.245688e-003	-7.323033e-002
4.381019466706056e-004	6.798637e-003	-6.816112e-002
4.391019466706056e-004	6.324754e-003	-6.282286e-002
4.401019466706056e-004	5.825911e-003	-5.723789e-002
4.411019466706056e-004	5.304075e-003	-5.142944e-002
4.421019466706057e-004	4.761307e-003	-4.542156e-002
4.431019466706057e-004	4.199747e-003	-3.923903e-002
4.441019466706057e-004	3.621614e-003	-3.290716e-002
4.451019466706057e-004	3.029187e-003	-2.645177e-002
4.461019466706058e-004	2.424806e-003	-1.989904e-002
4.471019466706058e-004	1.810855e-003	-1.327536e-002
4.481019466706058e-004	1.189757e-003	-6.607275e-003
4.491019466706058e-004	5.639642e-004	7.865675e-005
4.501019466706058e-004	-6.405455e-005	6.755969e-003
4.511019466706059e-004	-6.918205e-004	1.339839e-002
4.521019466706059e-004	-1.316856e-003	1.997994e-002
4.531019466706059e-004	-1.936695e-003	2.647505e-002
4.541019466706059e-004	-2.548890e-003	3.285863e-002
4.551019466706060e-004	-3.151026e-003	3.910616e-002
4.561019466706060e-004	-3.740727e-003	4.519381e-002
4.571019466706060e-004	-4.315664e-003	5.109848e-002
4.581019466706060e-004	-4.873569e-003	5.679790e-002
4.591019466706061e-004	-5.412241e-003	6.227070e-002
4.601019466706061e-004	-5.929553e-003	6.749646e-002
4.611019466706061e-004	-6.423464e-003	7.245579e-002
4.621019466706061e-004	-6.892025e-003	7.713040e-002
4.631019466696507e-004	-7.333385e-003	8.150309e-002
4.641019466696507e-004	-7.745804e-003	8.555787e-002
4.651019466696507e-004	-8.127654e-003	8.927997e-002
4.661019466696507e-004	-8.477428e-003	9.265588e-002
4.671019466696508e-004	-8.793745e-003	9.567338e-002
4.681019466696508e-004	-9.075358e-003	9.832159e-002
4.691019466696508e-004	-9.321154e-003	1.005910e-001
4.701019466696508e-004	-9.530164e-003	1.024734e-001
4.711019466696509e-004	-9.701563e-003	1.039621e-001
4.721019466696509e-004	-9.834673e-003	1.050516e-001
4.731019466696509e-004	-9.928972e-003	1.057382e-001
4.741019466696509e-004	-9.984084e-003	1.060192e-001
4.751019466696509e-004	-9.999795e-003	1.058937e-001
4.761019466696510e-004	-9.976041e-003	1.053621e-001
4.771019466696510e-004	-9.912916e-003	1.044261e-001
4.781019466696510e-004	-9.810668e-003	1.030890e-001
4.791019466696510e-004	-9.669703e-003	1.013557e-001
4.801019466696511e-004	-9.490577e-003	9.923206e-002
4.811019466696511e-004	-9.273994e-003	9.672580e-002
4.821019466696511e-004	-9.020812e-003	9.384579e-002
4.831019466696511e-004	-8.732028e-003	9.060235e-002
