#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.19E-04,-0.780
2.19E-04,-0.780
2.19E-04,-0.840
2.19E-04,-0.840
2.20E-04,-0.860
2.20E-04,-0.840
2.20E-04,-0.900
2.20E-04,-0.880
2.20E-04,-0.900
2.21E-04,-0.920
2.21E-04,-0.920
2.21E-04,-0.940
2.21E-04,-0.960
2.21E-04,-0.980
2.22E-04,-1.000
2.22E-04,-1.020
2.22E-04,-1.020
2.22E-04,-1.020
2.22E-04,-1.020
2.23E-04,-1.040
2.23E-04,-1.060
2.23E-04,-1.080
2.23E-04,-1.040
2.23E-04,-1.120
2.24E-04,-1.120
2.24E-04,-1.100
2.24E-04,-1.120
2.24E-04,-1.120
2.24E-04,-1.160
2.25E-04,-1.180
2.25E-04,-1.160
2.25E-04,-1.160
2.25E-04,-1.140
2.25E-04,-1.220
2.26E-04,-1.180
2.26E-04,-1.220
2.26E-04,-1.240
2.26E-04,-1.220
2.26E-04,-1.260
2.27E-04,-1.280
2.27E-04,-1.280
2.27E-04,-1.280
2.27E-04,-1.300
2.27E-04,-1.320
2.28E-04,-1.280
2.28E-04,-1.380
2.28E-04,-1.320
2.28E-04,-1.340
2.28E-04,-1.380
2.29E-04,-1.360
2.29E-04,-1.400
2.29E-04,-1.400
2.29E-04,-1.360
2.29E-04,-1.400
2.30E-04,-1.400
2.30E-04,-1.420
2.30E-04,-1.440
2.30E-04,-1.460
2.30E-04,-1.460
2.31E-04,-1.460
2.31E-04,-1.460
2.31E-04,-1.500
2.31E-04,-1.520
2.31E-04,-1.500
2.32E-04,-1.480
2.32E-04,-1.500
2.32E-04,-1.480
2.32E-04,-1.540
2.32E-04,-1.520
2.33E-04,-1.560
2.33E-04,-1.560
2.33E-04,-1.560
2.33E-04,-1.560
2.33E-04,-1.580
2.34E-04,-1.580
2.34E-04,-1.560
2.34E-04,-1.600
2.34E-04,-1.580
2.34E-04,-1.640
2.35E-04,-1.640
2.35E-04,-1.620
2.35E-04,-1.640
2.35E-04,-1.640
2.35E-04,-1.680
2.36E-04,-1.620
2.36E-04,-1.660
2.36E-04,-1.640
2.36E-04,-1.680
2.36E-04,-1.640
2.37E-04,-1.700
2.37E-04,-1.700
2.37E-04,-1.680
2.37E-04,-1.700
2.37E-04,-1.700
2.38E-04,-1.680
2.38E-04,-1.700
2.38E-04,-1.700
2.38E-04,-1.700
2.38E-04,-1.720
2.39E-04,-1.720
2.39E-04,-1.720
2.39E-04,-1.780
2.39E-04,-1.740
2.39E-04,-1.720
2.40E-04,-1.780
2.40E-04,-1.740
2.40E-04,-1.760
2.40E-04,-1.760
